Site: Coral_d18O 	: Aus_03	: slope    : -0.312105313974	: intercept: -4.9403839942	: correl.  : -0.612022313836	: p_value  : 7.53381208591e-13	: var(proxy)/var(resid): 1.59890331256  : SNR  : 0.773888
Site: Coral_d18O 	: Aus_12	: slope    : -0.0836192430378	: intercept: -4.67883051627	: correl.  : -0.242998282406	: p_value  : 0.00699837713343	: var(proxy)/var(resid): 1.06275365334  : SNR  : 0.250507
Site: Coral_d18O 	: Aus_14	: slope    : -0.255272280269	: intercept: -4.24436819722	: correl.  : -0.446374811076	: p_value  : 8.09973417847e-07	: var(proxy)/var(resid): 1.24882995867  : SNR  : 0.498829
Site: Coral_d18O 	: Aus_16	: slope    : -0.175604510105	: intercept: -4.37414057407	: correl.  : -0.329246703269	: p_value  : 0.00028927804146	: var(proxy)/var(resid): 1.12158344995  : SNR  : 0.348688
Site: Coral_d18O 	: Aus_21	: slope    : -0.0921308733807	: intercept: -3.89362558832	: correl.  : -0.397119172331	: p_value  : 1.21636368171e-05	: var(proxy)/var(resid): 1.18723058055  : SNR  : 0.432701
Site: Coral_d18O 	: Aus_22	: slope    : 0.0305708159099	: intercept: 0.0668120283428	: correl.  : 0.070102013297	: p_value  : 0.442917685117	: var(proxy)/var(resid): 1.0049385618   : SNR  : 0.0702749
Site: Coral_d18O 	: Aus_23	: slope    : -0.337434113957	: intercept: -5.19704103411	: correl.  : -0.329212420252	: p_value  : 0.00044509952337	: var(proxy)/var(resid): 1.12155505376  : SNR  : 0.348647
Site: Coral_d18O 	: Aus_24	: slope    : -0.147873875025	: intercept: -4.27216536091	: correl.  : -0.306301513509	: p_value  : 0.000633492501714	: var(proxy)/var(resid): 1.1035342659   : SNR  : 0.321767
Site: Coral_d18O 	: Aus_27	: slope    : -0.125280989446	: intercept: -4.87788144204	: correl.  : -0.200515979189	: p_value  : 0.0365643442302	: var(proxy)/var(resid): 1.04189095313  : SNR  : 0.204673
Site: Coral_d18O 	: Aus_28	: slope    : -0.111835832259	: intercept: -4.44952835436	: correl.  : -0.334288277221	: p_value  : 0.000260911483772	: var(proxy)/var(resid): 1.12580746719  : SNR  : 0.354693
Site: Tree ring_Width 	: Asi_073	: slope    : 0.170533744433	: intercept: 0.941610686589	: correl.  : 0.241208090462	: p_value  : 0.00609162460388	: var(proxy)/var(resid): 1.06177552596  : SNR  : 0.248547
Site: Tree ring_Width 	: Asi_074	: slope    : 0.0405049688513	: intercept: 1.00249741523	: correl.  : 0.121927157862	: p_value  : 0.196251101465	: var(proxy)/var(resid): 1.01509057176  : SNR  : 0.122844
Site: Tree ring_Width 	: Asi_075	: slope    : 0.0100073338904	: intercept: 1.00207536532	: correl.  : 0.0368020526292	: p_value  : 0.683667308727	: var(proxy)/var(resid): 1.00135622794  : SNR  : 0.036827
Site: Tree ring_Width 	: Asi_076	: slope    : 0.181535243186	: intercept: 0.980778855116	: correl.  : 0.387781732125	: p_value  : 6.11224528981e-06	: var(proxy)/var(resid): 1.17698939376  : SNR  : 0.420701
Site: Tree ring_Width 	: Asi_077	: slope    : 0.0332375893317	: intercept: 0.987629959904	: correl.  : 0.0622006468543	: p_value  : 0.487238262346	: var(proxy)/var(resid): 1.00388394715  : SNR  : 0.0623213
Site: Tree ring_Width 	: Asi_078	: slope    : -0.0533974293659	: intercept: 1.16344590981	: correl.  : -0.169614668877	: p_value  : 0.0618002851333	: var(proxy)/var(resid): 1.02962131555  : SNR  : 0.172108
Site: Tree ring_Width 	: Asi_079	: slope    : 0.0294524746106	: intercept: 0.98393269672	: correl.  : 0.0564365569882	: p_value  : 0.530209812848	: var(proxy)/var(resid): 1.00319526215  : SNR  : 0.0565266
Site: Tree ring_Width 	: Asi_080	: slope    : -0.019588288782	: intercept: 0.984985362592	: correl.  : -0.034599697514	: p_value  : 0.700515150035	: var(proxy)/var(resid): 1.00119857393  : SNR  : 0.0346204
Site: Tree ring_Width 	: Asi_081	: slope    : 0.113065441147	: intercept: 0.979842598786	: correl.  : 0.17476468204	: p_value  : 0.0503159524703	: var(proxy)/var(resid): 1.03150493983  : SNR  : 0.177496
Site: Tree ring_Width 	: Asi_082	: slope    : -0.0434769715967	: intercept: 0.981412445053	: correl.  : -0.0644276148016	: p_value  : 0.4735371514	: var(proxy)/var(resid): 1.00416821948  : SNR  : 0.0645617
Site: Tree ring_Width 	: Asi_083	: slope    : -0.00352713892372	: intercept: 0.986311456459	: correl.  : -0.00713508336395	: p_value  : 0.936798849046	: var(proxy)/var(resid): 1.00005091201  : SNR  : 0.00713526
Site: Tree ring_Width 	: Asi_084	: slope    : 0.0658756454266	: intercept: 1.06915555508	: correl.  : 0.176138983188	: p_value  : 0.0522956624279	: var(proxy)/var(resid): 1.03201830751  : SNR  : 0.178937
Site: Tree ring_Width 	: Asi_085	: slope    : 0.0892336771	: intercept: 1.0270811975	: correl.  : 0.17778481398	: p_value  : 0.0510683980868	: var(proxy)/var(resid): 1.03263907778  : SNR  : 0.180663
Site: Tree ring_Width 	: Asi_086	: slope    : -0.0057898247864	: intercept: 1.05675025824	: correl.  : -0.0123711603589	: p_value  : 0.891973782302	: var(proxy)/var(resid): 1.00015306904  : SNR  : 0.0123721
Site: Tree ring_Width 	: Asi_087	: slope    : -0.100422925973	: intercept: 1.19253853237	: correl.  : -0.175763085015	: p_value  : 0.0518267775114	: var(proxy)/var(resid): 1.03187744107  : SNR  : 0.178543
Site: Tree ring_Width 	: Asi_088	: slope    : -0.0327303435354	: intercept: 1.12825667496	: correl.  : -0.0474365198906	: p_value  : 0.600852035533	: var(proxy)/var(resid): 1.00225529834  : SNR  : 0.04749
Site: Tree ring_Width 	: Asi_089	: slope    : 0.0946535959473	: intercept: 1.17087052247	: correl.  : 0.156767558959	: p_value  : 0.0833434380411	: var(proxy)/var(resid): 1.02519526815  : SNR  : 0.15873
Site: Tree ring_Width 	: Asi_090	: slope    : -0.0425474921122	: intercept: 1.01011988493	: correl.  : -0.137975541223	: p_value  : 0.123386172859	: var(proxy)/var(resid): 1.01940670018  : SNR  : 0.139308
Site: Tree ring_Width 	: Asi_091	: slope    : -0.0670871890222	: intercept: 1.00113203628	: correl.  : -0.202168152813	: p_value  : 0.0231948054866	: var(proxy)/var(resid): 1.04261366616  : SNR  : 0.206431
Site: Tree ring_Width 	: Asi_092	: slope    : -0.0613293555816	: intercept: 1.01780444159	: correl.  : -0.181006207611	: p_value  : 0.0425269048895	: var(proxy)/var(resid): 1.03387303791  : SNR  : 0.184046
Site: Tree ring_Width 	: Asi_093	: slope    : -0.0346127954472	: intercept: 0.995361425482	: correl.  : -0.060182176723	: p_value  : 0.508460095425	: var(proxy)/var(resid): 1.0036350602   : SNR  : 0.0602915
Site: Tree ring_Width 	: Asi_094	: slope    : -0.0313625103873	: intercept: 1.0402306733	: correl.  : -0.0896151920916	: p_value  : 0.322272283248	: var(proxy)/var(resid): 1.00809589988  : SNR  : 0.0899772
Site: Tree ring_Width 	: Asi_095	: slope    : -0.0016019881299	: intercept: 1.04608917245	: correl.  : -0.00276046357699	: p_value  : 0.975725746876	: var(proxy)/var(resid): 1.00000762022  : SNR  : 0.00276047
Site: Tree ring_Width 	: Asi_096	: slope    : 0.0084423297256	: intercept: 1.02427185901	: correl.  : 0.0128090624364	: p_value  : 0.888636303986	: var(proxy)/var(resid): 1.000164099    : SNR  : 0.0128101
Site: Tree ring_Width 	: Asi_097	: slope    : -0.0460192909873	: intercept: 1.08491340135	: correl.  : -0.0809157516469	: p_value  : 0.375619155387	: var(proxy)/var(resid): 1.00659050929  : SNR  : 0.081182
Site: Tree ring_Width 	: Asi_098	: slope    : -0.00739411842553	: intercept: 1.06274566616	: correl.  : -0.0111969044277	: p_value  : 0.902578660875	: var(proxy)/var(resid): 1.00012538639  : SNR  : 0.0111976
Site: Tree ring_Width 	: Asi_099	: slope    : -0.0505922814084	: intercept: 1.02553740364	: correl.  : -0.0754376735809	: p_value  : 0.399264377499	: var(proxy)/var(resid): 1.00572341364  : SNR  : 0.0756532
Site: Tree ring_Width 	: Asi_100	: slope    : 0.039672746485	: intercept: 1.00282278632	: correl.  : 0.0712847543201	: p_value  : 0.433326858778	: var(proxy)/var(resid): 1.00510746989  : SNR  : 0.0714666
Site: Tree ring_Width 	: Asi_101	: slope    : 0.26966156322	: intercept: 1.02080144048	: correl.  : 0.268153600793	: p_value  : 0.00239882472124	: var(proxy)/var(resid): 1.07747747644  : SNR  : 0.278348
Site: Tree ring_Width 	: Asi_102	: slope    : -0.00995244227118	: intercept: 0.968529421789	: correl.  : -0.011510987018	: p_value  : 0.900697066348	: var(proxy)/var(resid): 1.00013252038  : SNR  : 0.0115117
Site: Tree ring_Width 	: Asi_103	: slope    : 0.0784604105589	: intercept: 1.03221291754	: correl.  : 0.138228858779	: p_value  : 0.127331829418	: var(proxy)/var(resid): 1.01947941481  : SNR  : 0.139569
Site: Tree ring_Width 	: Asi_104	: slope    : -0.0268171063467	: intercept: 1.03391266995	: correl.  : -0.0525331884856	: p_value  : 0.583977235354	: var(proxy)/var(resid): 1.00276737311  : SNR  : 0.0526058
Site: Tree ring_Width 	: Asi_105	: slope    : -0.00597276256818	: intercept: 0.930781054279	: correl.  : -0.00909873896787	: p_value  : 0.920109962692	: var(proxy)/var(resid): 1.00008279391  : SNR  : 0.00909912
Site: Tree ring_Width 	: Asi_106	: slope    : -0.0276002111413	: intercept: 0.948622546737	: correl.  : -0.0415929920091	: p_value  : 0.646472754007	: var(proxy)/var(resid): 1.00173297499  : SNR  : 0.041629
Site: Tree ring_Width 	: Asi_107	: slope    : -0.0826605287169	: intercept: 1.00086444893	: correl.  : -0.122318347233	: p_value  : 0.174168615049	: var(proxy)/var(resid): 1.01518903301  : SNR  : 0.123244
Site: Tree ring_Width	: Asi_108	: slope    : 0.0904957828243	: intercept: 1.00719723417	: correl.  : 0.200161211016	: p_value  : 0.0297649613553	: var(proxy)/var(resid): 1.04173666963  : SNR  : 0.204296
Site: Tree ring_Width 	: Asi_110	: slope    : 0.0717729207836	: intercept: 1.01411899554	: correl.  : 0.202435379084	: p_value  : 0.0259617551318	: var(proxy)/var(resid): 1.04273121128  : SNR  : 0.206715
Site: Tree ring_Width 	: Asi_111	: slope    : 0.00622579995482	: intercept: 0.997521576871	: correl.  : 0.0211114609449	: p_value  : 0.818970469561	: var(proxy)/var(resid): 1.00044589251  : SNR  : 0.0211162
Site: Tree ring_Width 	: Asi_112	: slope    : 0.0846152138215	: intercept: 1.01994211896	: correl.  : 0.246485939203	: p_value  : 0.00665040089126	: var(proxy)/var(resid): 1.06468529384  : SNR  : 0.254333
Site: Tree ring_Width 	: Asi_113	: slope    : 0.099483433011	: intercept: 0.998865995938	: correl.  : 0.284704825553	: p_value  : 0.00169993343343	: var(proxy)/var(resid): 1.0882065845   : SNR  : 0.296996
Site: Tree ring_Width 	: Asi_114	: slope    : 0.0225866096857	: intercept: 0.993884111254	: correl.  : 0.0645258638933	: p_value  : 0.480119251325	: var(proxy)/var(resid): 1.00418099505  : SNR  : 0.0646606
Site: Tree ring_Width 	: Asi_115	: slope    : 0.0225480145744	: intercept: 1.00113856432	: correl.  : 0.0848603397624	: p_value  : 0.360897770796	: var(proxy)/var(resid): 1.00725351181  : SNR  : 0.0851676
Site: Tree ring_Width 	: Asi_116	: slope    : 0.0138399300708	: intercept: 0.999270845654	: correl.  : 0.0452933586067	: p_value  : 0.635353091312	: var(proxy)/var(resid): 1.00205570559  : SNR  : 0.0453399
Site: Tree ring_Width 	: Asi_117	: slope    : 0.1033344492	: intercept: 0.985801202566	: correl.  : 0.219224225098	: p_value  : 0.013650161587	: var(proxy)/var(resid): 1.05048555955  : SNR  : 0.22469
Site: Tree ring_Width 	: Asi_118	: slope    : 0.0238475533056	: intercept: 0.969844613651	: correl.  : 0.0735030506452	: p_value  : 0.419114446204	: var(proxy)/var(resid): 1.00543204616  : SNR  : 0.0737024
Site: Tree ring_Width 	: Asi_119	: slope    : 0.0658276102425	: intercept: 0.990000395464	: correl.  : 0.13550181894	: p_value  : 0.13032238061	: var(proxy)/var(resid): 1.01870416531  : SNR  : 0.136763
Site: Tree ring_Width 	: Asi_120	: slope    : -0.0301976685497	: intercept: 0.968338536929	: correl.  : -0.0786780893688	: p_value  : 0.389007840879	: var(proxy)/var(resid): 1.00622879952  : SNR  : 0.0789227
Site: Tree ring_Width 	: Asi_121	: slope    : -0.00835390797867	: intercept: 1.06983313922	: correl.  : -0.020209816528	: p_value  : 0.829509170415	: var(proxy)/var(resid): 1.00040860357  : SNR  : 0.0202139
Site: Tree ring_Width 	: Asi_122	: slope    : -0.0372798672688	: intercept: 0.979378943887	: correl.  : -0.113380204761	: p_value  : 0.225577609419	: var(proxy)/var(resid): 1.01302247568  : SNR  : 0.114116
Site: Tree ring_Width 	: Asi_123	: slope    : 0.0543259522929	: intercept: 0.997651052565	: correl.  : 0.109910095383	: p_value  : 0.240190682476	: var(proxy)/var(resid): 1.01222794545  : SNR  : 0.11058
Site: Tree ring_Width 	: Asi_124	: slope    : 0.0265353514548	: intercept: 1.07857866819	: correl.  : 0.0650535225446	: p_value  : 0.487810458507	: var(proxy)/var(resid): 1.0042499464   : SNR  : 0.0651916
Site: Tree ring_Width 	: Asi_125	: slope    : 0.0596702337213	: intercept: 1.17831251448	: correl.  : 0.121295508497	: p_value  : 0.194617579243	: var(proxy)/var(resid): 1.01493229324  : SNR  : 0.122198
Site: Tree ring_Width 	: Asi_126	: slope    : 0.0869817432873	: intercept: 1.07165282848	: correl.  : 0.206513699939	: p_value  : 0.0261372526854	: var(proxy)/var(resid): 1.0445477778   : SNR  : 0.211063
Site: Tree ring_Width 	: Asi_127	: slope    : -0.0240322390872	: intercept: 1.09925325083	: correl.  : -0.0621225335283	: p_value  : 0.50766714984	: var(proxy)/var(resid): 1.00387416037  : SNR  : 0.0622428
Site: Tree ring_Width 	: Asi_128	: slope    : 0.00447031506674	: intercept: 0.957384296142	: correl.  : 0.0112860331981	: p_value  : 0.904291664999	: var(proxy)/var(resid): 1.00012739077  : SNR  : 0.0112868
Site: Tree ring_Width 	: Asi_129	: slope    : 0.0112202950098	: intercept: 1.03523574596	: correl.  : 0.0241426194156	: p_value  : 0.796989268341	: var(proxy)/var(resid): 1.000583206    : SNR  : 0.0241497
Site: Tree ring_Width 	: Asi_130	: slope    : -0.0099084047597	: intercept: 1.1406604104	: correl.  : -0.0281466050877	: p_value  : 0.764234629433	: var(proxy)/var(resid): 1.00079285951  : SNR  : 0.0281578
Site: Tree ring_Width 	: Asi_131	: slope    : 0.00830635128327	: intercept: 1.20721523033	: correl.  : 0.0242784889606	: p_value  : 0.795871626821	: var(proxy)/var(resid): 1.00058979268  : SNR  : 0.0242856
Site: Tree ring_Width 	: Asi_132	: slope    : -0.00282604280383	: intercept: 1.18382707178	: correl.  : -0.00846626923378	: p_value  : 0.928129379597	: var(proxy)/var(resid): 1.00007168285  : SNR  : 0.00846657
Site: Tree ring_Width 	: Asi_133	: slope    : 0.0669016235045	: intercept: 1.08188980867	: correl.  : 0.128006894143	: p_value  : 0.159987157983	: var(proxy)/var(resid): 1.016658731    : SNR  : 0.129069
Site: Tree ring_Width 	: Asi_134	: slope    : 0.0446627291848	: intercept: 1.01172115016	: correl.  : 0.120298537873	: p_value  : 0.186881515806	: var(proxy)/var(resid): 1.01468424476  : SNR  : 0.121179
Site: Tree ring_Width 	: Asi_135	: slope    : 0.0256099459122	: intercept: 0.996317831895	: correl.  : 0.0815587048208	: p_value  : 0.363939591992	: var(proxy)/var(resid): 1.00669636536  : SNR  : 0.0818313
Site: Tree ring_Width 	: Asi_136	: slope    : 0.0677084387358	: intercept: 0.999620251408	: correl.  : 0.236856330627	: p_value  : 0.00757795082973	: var(proxy)/var(resid): 1.05943529624  : SNR  : 0.243794
Site: Tree ring_Width 	: Asi_137	: slope    : 0.0406638905418	: intercept: 1.0195546891	: correl.  : 0.174501911601	: p_value  : 0.0506682070436	: var(proxy)/var(resid): 1.03140729819  : SNR  : 0.177221
Site: Tree ring_Width 	: Asi_138	: slope    : 0.0644688691029	: intercept: 1.0205042924	: correl.  : 0.222665592504	: p_value  : 0.0122088208101	: var(proxy)/var(resid): 1.05216637309  : SNR  : 0.2284
Site: Tree ring_Width 	: Asi_139	: slope    : 0.0883996657081	: intercept: 1.04404568357	: correl.  : 0.281271187332	: p_value  : 0.0014854078948	: var(proxy)/var(resid): 1.08591013027  : SNR  : 0.293104
Site: Tree ring_Width 	: Asi_140	: slope    : 0.0441745355208	: intercept: 1.10218753001	: correl.  : 0.101023714581	: p_value  : 0.268211096652	: var(proxy)/var(resid): 1.01031102305  : SNR  : 0.101543
Site: Tree ring_Width 	: Asi_141	: slope    : 0.039556061026	: intercept: 1.20401443981	: correl.  : 0.126448551797	: p_value  : 0.158272423138	: var(proxy)/var(resid): 1.01624904609  : SNR  : 0.127472
Site: Tree ring_Width 	: Asi_142	: slope    : 0.21939932841	: intercept: 1.40040079096	: correl.  : 0.366703216596	: p_value  : 2.40755348552e-05	: var(proxy)/var(resid): 1.15536312216  : SNR  : 0.394161
Site: Tree ring_Width 	: Asi_143	: slope    : 0.0971824205015	: intercept: 1.02595400532	: correl.  : 0.401258300806	: p_value  : 3.52562660904e-06	: var(proxy)/var(resid): 1.19190679642  : SNR  : 0.438072
Site: Tree ring_Width 	: Asi_144	: slope    : 0.0167650255136	: intercept: 1.02344257864	: correl.  : 0.0511475099231	: p_value  : 0.569505471501	: var(proxy)/var(resid): 1.00262292953  : SNR  : 0.0512145
Site: Tree ring_Width 	: Asi_145	: slope    : 0.0351671137969	: intercept: 1.21493016349	: correl.  : 0.125825706973	: p_value  : 0.165519768092	: var(proxy)/var(resid): 1.01608679644  : SNR  : 0.126834
Site: Tree ring_Width 	: Asi_146	: slope    : 0.0347315511606	: intercept: 1.18044094192	: correl.  : 0.104846296574	: p_value  : 0.258511781273	: var(proxy)/var(resid): 1.0111149295   : SNR  : 0.105427
Site: Tree ring_Width 	: Asi_147	: slope    : 0.0984139341477	: intercept: 1.15808122822	: correl.  : 0.238148334184	: p_value  : 0.00910444547169	: var(proxy)/var(resid): 1.06012457187  : SNR  : 0.245203
Site: Tree ring_Width 	: Asi_148	: slope    : 0.0654519785098	: intercept: 1.17105292904	: correl.  : 0.126798283605	: p_value  : 0.165776213626	: var(proxy)/var(resid): 1.01634052449  : SNR  : 0.12783
Site: Tree ring_Width 	: Asi_149	: slope    : 0.042717230282	: intercept: 1.08610937128	: correl.  : 0.152513197748	: p_value  : 0.0895139545709	: var(proxy)/var(resid): 1.02381420035  : SNR  : 0.154319
Site: Tree ring_Width 	: Asi_150	: slope    : 0.105921882668	: intercept: 1.0809379659	: correl.  : 0.358092174353	: p_value  : 4.12811185879e-05	: var(proxy)/var(resid): 1.14709155639  : SNR  : 0.383525
Site: Tree ring_Width 	: Asi_151	: slope    : 0.0209718247358	: intercept: 0.987626095891	: correl.  : 0.0458518340738	: p_value  : 0.614546562936	: var(proxy)/var(resid): 1.00210682005  : SNR  : 0.0459001
Site: Tree ring_Width 	: Asi_152	: slope    : -0.095898902238	: intercept: 1.00697540442	: correl.  : -0.15448586399	: p_value  : 0.0992520636839	: var(proxy)/var(resid): 1.0244493884   : SNR  : 0.156363
Site: Tree ring_Width 	: Asi_153	: slope    : -0.062272630479	: intercept: 1.0205525512	: correl.  : -0.161744621375	: p_value  : 0.0750963583655	: var(proxy)/var(resid): 1.02686412354  : SNR  : 0.163903
Site: Tree ring_Width 	: Asi_154	: slope    : 0.000956757962165	: intercept: 1.11138574153	: correl.  : 0.00244895340499	: p_value  : 0.978911988667	: var(proxy)/var(resid): 1.00000599741  : SNR  : 0.00244896
Site: Tree ring_Width 	: Asi_155	: slope    : 0.162496124594	: intercept: 1.24039016367	: correl.  : 0.448190153983	: p_value  : 2.84789484368e-07	: var(proxy)/var(resid): 1.25136776707  : SNR  : 0.501366
Site: Tree ring_Width 	: Asi_156	: slope    : -0.0502517481894	: intercept: 1.02535569756	: correl.  : -0.1400081514	: p_value  : 0.128843566189	: var(proxy)/var(resid): 1.0199942147   : SNR  : 0.141401
Site: Tree ring_Width 	: Asi_157	: slope    : 0.0188686091921	: intercept: 1.16719702651	: correl.  : 0.0402410495497	: p_value  : 0.662560010846	: var(proxy)/var(resid): 1.00162196859  : SNR  : 0.0402737
Site: Tree ring_Width 	: Asi_158	: slope    : -0.0446141169371	: intercept: 0.997879967603	: correl.  : -0.0686592514574	: p_value  : 0.450498570712	: var(proxy)/var(resid): 1.00473642074  : SNR  : 0.0688217
Site: Tree ring_Width 	: Asi_159	: slope    : 0.118059538269	: intercept: 1.07359815766	: correl.  : 0.231781023499	: p_value  : 0.0122966678393	: var(proxy)/var(resid): 1.05677239458  : SNR  : 0.23827
Site: Tree ring_Width 	: Asi_160	: slope    : 0.00991962087773	: intercept: 1.14988482955	: correl.  : 0.0170481199158	: p_value  : 0.851538419791	: var(proxy)/var(resid): 1.00029072289  : SNR  : 0.0170506
Site: Tree ring_Width 	: Asi_161	: slope    : -0.0513257838932	: intercept: 1.18172119215	: correl.  : -0.150056274267	: p_value  : 0.103338591003	: var(proxy)/var(resid): 1.02303557485  : SNR  : 0.151775
Site: Tree ring_Width 	: Asi_162	: slope    : 0.064169604882	: intercept: 0.974911397115	: correl.  : 0.106956232302	: p_value  : 0.251058119447	: var(proxy)/var(resid): 1.01157201527  : SNR  : 0.107573
Site: Tree ring_Width 	: Asi_163	: slope    : 0.0260279326433	: intercept: 0.990742489513	: correl.  : 0.0526421306619	: p_value  : 0.564706376147	: var(proxy)/var(resid): 1.00277889478  : SNR  : 0.0527152
Site: Tree ring_Width 	: Asi_164	: slope    : 0.0823923938821	: intercept: 1.04212303834	: correl.  : 0.259824240687	: p_value  : 0.00370571137563	: var(proxy)/var(resid): 1.07239599063  : SNR  : 0.269065
Site: Tree ring_Width 	: Asi_165	: slope    : -0.0951165830881	: intercept: 1.01506629041	: correl.  : -0.220798581045	: p_value  : 0.0115891419211	: var(proxy)/var(resid): 1.05125058247  : SNR  : 0.226386
Site: Tree ring_Width 	: Asi_166	: slope    : 0.0174618773422	: intercept: 1.14944862022	: correl.  : 0.0237704467006	: p_value  : 0.794113994909	: var(proxy)/var(resid): 1.00056535358  : SNR  : 0.0237772
Site: Tree ring_Width 	: Asi_167	: slope    : 0.00608480486501	: intercept: 1.01458055936	: correl.  : 0.0130069479899	: p_value  : 0.888823191062	: var(proxy)/var(resid): 1.00016920932  : SNR  : 0.013008
Site: Tree ring_Width 	: Asi_168	: slope    : 0.26189438291	: intercept: 0.988264587867	: correl.  : 0.331105091039	: p_value  : 0.0002349640894	: var(proxy)/var(resid): 1.12312932027  : SNR  : 0.350898
Site: Tree ring_Width 	: Asi_169	: slope    : 0.136934158684	: intercept: 0.975213076744	: correl.  : 0.189319936461	: p_value  : 0.0391958106501	: var(proxy)/var(resid): 1.03717444627  : SNR  : 0.192807
Site: Tree ring_Width 	: Asi_170	: slope    : 0.115774877869	: intercept: 0.989212448062	: correl.  : 0.116568205132	: p_value  : 0.20872988054	: var(proxy)/var(resid): 1.01377532762  : SNR  : 0.117368
Site: Tree ring_Width 	: Asi_171	: slope    : 0.195028100085	: intercept: 1.01320960063	: correl.  : 0.284775605285	: p_value  : 0.00169521754194	: var(proxy)/var(resid): 1.08825431868  : SNR  : 0.297076
Site: Tree ring_Width 	: Asi_172	: slope    : -0.013811168967	: intercept: 0.985223047704	: correl.  : -0.0214480196344	: p_value  : 0.817678813614	: var(proxy)/var(resid): 1.00046022926  : SNR  : 0.021453
Site: Tree ring_Width 	: Asi_173	: slope    : 0.00606776972771	: intercept: 0.986204629123	: correl.  : 0.0100332622158	: p_value  : 0.914129260492	: var(proxy)/var(resid): 1.00010067649  : SNR  : 0.0100338
Site: Tree ring_Width 	: Asi_174	: slope    : -0.0332566624334	: intercept: 1.00854054669	: correl.  : -0.0551551192599	: p_value  : 0.558240303437	: var(proxy)/var(resid): 1.00305136971  : SNR  : 0.0552392
Site: Tree ring_Width 	: Asi_175	: slope    : 0.0515182807889	: intercept: 1.01346160356	: correl.  : 0.0725241118412	: p_value  : 0.437117649865	: var(proxy)/var(resid): 1.00528755801  : SNR  : 0.0727156
Site: Tree ring_Width 	: Asi_176	: slope    : 0.12185065092	: intercept: 0.964779455143	: correl.  : 0.142007839802	: p_value  : 0.126684212534	: var(proxy)/var(resid): 1.02058127318  : SNR  : 0.143462
Site: Tree ring_Width 	: Asi_177	: slope    : -0.0123827828321	: intercept: 1.01670877003	: correl.  : -0.0187789150417	: p_value  : 0.840728400259	: var(proxy)/var(resid): 1.00035277205  : SNR  : 0.0187822
Site: Tree ring_Width 	: Asi_178	: slope    : -0.106497151508	: intercept: 0.944287418027	: correl.  : -0.18315332373	: p_value  : 0.048088099997	: var(proxy)/var(resid): 1.03470947416  : SNR  : 0.186305
Site: Tree ring_Width 	: Asi_179	: slope    : 0.0137085373579	: intercept: 1.00811266622	: correl.  : 0.0263994676405	: p_value  : 0.774713747544	: var(proxy)/var(resid): 1.00069741794  : SNR  : 0.0264087
Site: Tree ring_Width 	: Asi_180	: slope    : -0.203617038091	: intercept: 0.954890237598	: correl.  : -0.261428473718	: p_value  : 0.00392453104537	: var(proxy)/var(resid): 1.07335852396  : SNR  : 0.270848
Site: Tree ring_Width 	: Asi_181	: slope    : 0.259938121402	: intercept: 0.999350500087	: correl.  : 0.306297022886	: p_value  : 0.000668078797299	: var(proxy)/var(resid): 1.10353091584  : SNR  : 0.321762
Site: Tree ring_Width 	: Asi_182	: slope    : -0.027316147831	: intercept: 1.03023098987	: correl.  : -0.0635405064794	: p_value  : 0.490531937357	: var(proxy)/var(resid): 1.00405376261  : SNR  : 0.0636692
Site: Tree ring_Width 	: Asi_183	: slope    : -0.0117415400201	: intercept: 1.16326865892	: correl.  : -0.026906556927	: p_value  : 0.77628100594	: var(proxy)/var(resid): 1.00072448731  : SNR  : 0.0269163
Site: Tree ring_Width 	: Asi_184	: slope    : 0.101020255175	: intercept: 1.04947409147	: correl.  : 0.376031779902	: p_value  : 1.42980705046e-05	: var(proxy)/var(resid): 1.16468656294  : SNR  : 0.405816
Site: Tree ring_Width 	: Asi_185	: slope    : -0.0417500029705	: intercept: 1.03344013391	: correl.  : -0.161289191803	: p_value  : 0.0711912785955	: var(proxy)/var(resid): 1.0267090172   : SNR  : 0.163429
Site: Tree ring_Width 	: Asi_186	: slope    : -0.0512885845651	: intercept: 0.995176495497	: correl.  : -0.103155956979	: p_value  : 0.274752796002	: var(proxy)/var(resid): 1.01075560347  : SNR  : 0.103709
Site: Tree ring_Width 	: Asi_187	: slope    : 0.00688350602166	: intercept: 1.08366851569	: correl.  : 0.0183319801698	: p_value  : 0.84649602287	: var(proxy)/var(resid): 1.00033617447  : SNR  : 0.0183351
Site: Tree ring_Width 	: Asi_188	: slope    : -0.13514902742	: intercept: 1.06142409286	: correl.  : -0.229929898242	: p_value  : 0.0138553628432	: var(proxy)/var(resid): 1.05581877141  : SNR  : 0.23626
Site: Tree ring_Width 	: Asi_189	: slope    : -0.115104442231	: intercept: 1.07848902885	: correl.  : -0.221589626311	: p_value  : 0.0178174141153	: var(proxy)/var(resid): 1.05163746327  : SNR  : 0.227239
Site: Tree ring_Width 	: Asi_190	: slope    : -0.0201779534502	: intercept: 0.999111580323	: correl.  : -0.0488452594605	: p_value  : 0.585518863457	: var(proxy)/var(resid): 1.00239156531  : SNR  : 0.0489036
Site: Tree ring_Width 	: Asi_191	: slope    : 0.0750450126781	: intercept: 1.12456924484	: correl.  : 0.155934869208	: p_value  : 0.0800066934011	: var(proxy)/var(resid): 1.0249216709   : SNR  : 0.157866
